@relation 'final_property_listings_WEKA-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 6 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10-I1,5-6,8'

@attribute Location {klcc,'damansara heights',dutamas,'bukit jalil','taman tun dr ismail','sri petaling','bukit tunku (kenny hills)','mont kiara','desa parkcity','bangsar south','ampang hilir',kepong,'jalan klang lama (old klang road)','sungai besi','kl city','kl sentral','taman melawati',setapak,'city centre','country heights damansara','taman desa',sentul,bangsar,segambut,'wangsa maju','batu caves',ampang,'sri hartamas',cheras,setiawangsa,oug,'bukit bintang','jalan sultan ismail','jalan kuching','bandar menjalara',seputeh,'sunway spk','kl eco city',pantai,'kuchai lama','jalan ipoh',brickfields,'desa pandan','desa petaling','pandan perdana','bandar damai perdana',keramat,'salak selatan',titiwangsa}
@attribute Price numeric
@attribute 'Rooms Num' numeric
@attribute Bathrooms numeric
@attribute 'Main Property Type' {'Serviced Residence',Bungalow,Condominium,'Semi-detached House','Terrace/Link House',Apartment,Townhouse,Flat,'Residential Land','Cluster House'}
@attribute 'Size Type' {Built-up,'Land area'}
@attribute 'Size Num' numeric
@attribute Furnishing {'Fully Furnished','Partly Furnished',Unfurnished,Unknown}
@attribute cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
setapak,510000,4,2,Condominium,Built-up,1313,'Partly Furnished',cluster2
setapak,410000,4,2,Condominium,Built-up,1272,'Partly Furnished',cluster2
setapak,515000,4,2,Condominium,Built-up,1313,'Partly Furnished',cluster2
setapak,430000,4,2,Condominium,Built-up,1272,'Partly Furnished',cluster2
setapak,500000,4,2,Condominium,Built-up,1378,'Partly Furnished',cluster2
setapak,440000,4,2,Condominium,Built-up,1272,'Partly Furnished',cluster2
setapak,520000,4,2,Condominium,Built-up,1450,'Partly Furnished',cluster2
setapak,580000,3,3,'Serviced Residence',Built-up,1280,'Partly Furnished',cluster2
'jalan klang lama (old klang road)',565000,4,2,'Serviced Residence',Built-up,933,'Partly Furnished',cluster2
'bukit jalil',890000,3,2,'Serviced Residence',Built-up,1170,Unknown,cluster2
'jalan klang lama (old klang road)',640000,4,2,Condominium,Built-up,935,'Partly Furnished',cluster2
'jalan klang lama (old klang road)',730000,4,2,Condominium,Built-up,1092,'Partly Furnished',cluster2
'sungai besi',450000,2,2,Condominium,Built-up,855,'Partly Furnished',cluster1
'kl city',988000,2,1,'Serviced Residence',Built-up,625,'Partly Furnished',cluster1
'bukit bintang',3780000,4,3,'Serviced Residence',Built-up,2013,'Fully Furnished',cluster5
klcc,1828000,4,3,'Serviced Residence',Built-up,1426,'Fully Furnished',cluster5
'bukit bintang',4450000,4,3,'Serviced Residence',Built-up,2405,'Fully Furnished',cluster4
klcc,2789000,4,3,'Serviced Residence',Built-up,2789,'Fully Furnished',cluster5
'bukit jalil',645000,4,4,Condominium,Built-up,1410,'Fully Furnished',cluster5
bangsar,1650000,4,3,'Terrace/Link House','Land area',1970,Unknown,cluster5
'taman melawati',3700000,9,7,Bungalow,'Land area',6360,'Partly Furnished',cluster6
klcc,1400000,2,2,'Serviced Residence',Built-up,930,'Fully Furnished',cluster1
'sri petaling',3300000,6,5,'Semi-detached House','Land area',7500,'Partly Furnished',cluster6
'mont kiara',1180000,4,3,Condominium,Built-up,1703,'Fully Furnished',cluster5
bangsar,6750000,6,6,Bungalow,'Land area',7793,'Partly Furnished',cluster6
'mont kiara',1480000,5,5,Condominium,'Land area',2498,'Partly Furnished',cluster5
pantai,4500000,6,5,Bungalow,'Land area',8300,Unknown,cluster6
'wangsa maju',430000,3,2,Condominium,Built-up,1150,Unknown,cluster2
bangsar,3800000,5,5,Bungalow,Built-up,4056,'Partly Furnished',cluster4
klcc,1100000,3,2,'Serviced Residence',Built-up,850,'Fully Furnished',cluster2
kepong,290000,3,2,Apartment,Built-up,860,'Partly Furnished',cluster2
kepong,290000,3,2,Apartment,Built-up,1010,'Partly Furnished',cluster2
'wangsa maju',699000,4,3,'Terrace/Link House','Land area',1080,Unfurnished,cluster2
'wangsa maju',430000,3,2,Condominium,Built-up,1108,Unknown,cluster2
'wangsa maju',378000,4,2,Apartment,Built-up,1207,'Partly Furnished',cluster2
'wangsa maju',360000,3,2,Apartment,Built-up,930,'Partly Furnished',cluster2
kepong,325000,3,2,Condominium,Built-up,1010,'Partly Furnished',cluster2
'wangsa maju',580000,4,2,Apartment,Built-up,1900,'Partly Furnished',cluster2
'wangsa maju',668000,4,3,'Terrace/Link House','Land area',1080,Unfurnished,cluster2
'wangsa maju',440000,4,3,Condominium,Built-up,1267,Unknown,cluster2
'wangsa maju',430000,3,2,Condominium,Built-up,1150,'Partly Furnished',cluster2
cheras,360000,3,3,Condominium,Built-up,1106,Unfurnished,cluster2
cheras,445000,3,2,Condominium,Built-up,1018,Unfurnished,cluster2
'wangsa maju',440000,4,3,Condominium,Built-up,1267,Unknown,cluster2
sentul,820000,3,3,Condominium,Built-up,1186,Unknown,cluster2
sentul,1000000,3,2,Condominium,Built-up,1488,Unknown,cluster2
sentul,1080000,4,4,Condominium,Built-up,1567,'Partly Furnished',cluster5
sentul,830000,4,3,Condominium,Built-up,1381,'Fully Furnished',cluster2
'kl city',770000,1,1,'Serviced Residence',Built-up,732,'Fully Furnished',cluster1
'jalan klang lama (old klang road)',720000,4,2,Condominium,Built-up,1073,'Partly Furnished',cluster2
'mont kiara',1680000,5,4,Condominium,Built-up,2500,Unknown,cluster5
'sungai besi',1430000,5,6,'Terrace/Link House','Land area',2080,Unfurnished,cluster5
'sungai besi',1350000,5,6,'Terrace/Link House','Land area',1920,Unfurnished,cluster5
segambut,590000,3,2,Condominium,'Land area',1019,'Partly Furnished',cluster2
'jalan ipoh',598000,3,2,Townhouse,'Land area',1080,'Partly Furnished',cluster2
ampang,428000,1,1,'Serviced Residence',Built-up,465,'Fully Furnished',cluster1
'sri petaling',425000,3,2,Condominium,Built-up,1129,Unfurnished,cluster2
setapak,566000,3,2,'Serviced Residence',Built-up,1270,'Partly Furnished',cluster2
klcc,1828000,3,3,Condominium,Built-up,1228,'Fully Furnished',cluster2
klcc,1350000,3,3,Condominium,Built-up,871,'Fully Furnished',cluster2
klcc,1743000,3,3,Condominium,Built-up,1031,'Fully Furnished',cluster2
klcc,850000,2,2,'Serviced Residence',Built-up,1149,'Fully Furnished',cluster1
'kl sentral',2100000,2,2,'Serviced Residence',Built-up,1625,Unknown,cluster1
klcc,1900000,2,2,'Serviced Residence',Built-up,1485,Unknown,cluster1
'kl sentral',1600000,3,3,'Serviced Residence',Built-up,1399,Unknown,cluster2
'kl sentral',1580000,2,2,'Serviced Residence',Built-up,1399,Unknown,cluster1
klcc,2500000,3,3,'Serviced Residence',Built-up,2470,Unknown,cluster5
'kl sentral',1438000,2,2,'Serviced Residence',Built-up,1087,Unknown,cluster1
'bukit jalil',790000,5,3,Condominium,Built-up,2500,Unfurnished,cluster5
'bukit jalil',790000,5,3,Condominium,Built-up,2500,Unfurnished,cluster5
klcc,1850000,3,3,Condominium,Built-up,2174,'Partly Furnished',cluster5
klcc,1390000,2,3,Condominium,Built-up,1550,'Fully Furnished',cluster2
brickfields,590000,1,1,'Serviced Residence',Built-up,527,'Fully Furnished',cluster1
'mont kiara',3050000,5,5,Condominium,Built-up,3704,'Partly Furnished',cluster4
'mont kiara',2940000,5,5,Condominium,Built-up,3668,'Partly Furnished',cluster4
cheras,440000,3,2,Townhouse,'Land area',1470,'Partly Furnished',cluster2
'wangsa maju',940000,4,3,Condominium,Built-up,1828,'Partly Furnished',cluster5
'wangsa maju',900000,4,3,Condominium,Built-up,1828,'Partly Furnished',cluster5
'mont kiara',1900000,4,5,Condominium,Built-up,2411,'Partly Furnished',cluster5
'kl sentral',1359800,3,3,'Serviced Residence',Built-up,1166,'Partly Furnished',cluster2
'kl sentral',855800,1,1,'Serviced Residence',Built-up,650,'Partly Furnished',cluster1
'kl sentral',1128800,2,2,'Serviced Residence',Built-up,858,'Partly Furnished',cluster1
'taman melawati',2100000,5,5,'Terrace/Link House',Built-up,3650,'Fully Furnished',cluster4
setapak,325000,1,1,'Serviced Residence',Built-up,555,Unknown,cluster1
'sungai besi',600000,3,2,'Serviced Residence',Built-up,1025,'Fully Furnished',cluster2
'sungai besi',499000,1,1,'Serviced Residence',Built-up,750,'Partly Furnished',cluster1
cheras,598000,4,3,'Terrace/Link House','Land area',1400,Unfurnished,cluster2
cheras,508000,3,2,'Serviced Residence','Land area',1097,'Partly Furnished',cluster2
'desa parkcity',1990000,4,4,'Terrace/Link House',Built-up,2500,'Fully Furnished',cluster5
'desa parkcity',2750000,5,5,'Terrace/Link House',Built-up,3300,'Partly Furnished',cluster4
'desa parkcity',2500000,5,5,'Terrace/Link House',Built-up,3300,'Partly Furnished',cluster4
'desa parkcity',1780000,3,3,'Terrace/Link House',Built-up,1900,Unfurnished,cluster5
'desa parkcity',4950000,8,9,'Terrace/Link House',Built-up,6900,'Partly Furnished',cluster6
'desa parkcity',3580000,5,6,'Terrace/Link House',Built-up,4600,'Partly Furnished',cluster4
'taman tun dr ismail',950000,3,2,Condominium,Built-up,1400,'Fully Furnished',cluster2
dutamas,850000,4,4,Condominium,Built-up,2111,'Fully Furnished',cluster5
ampang,638000,2,2,'Serviced Residence',Built-up,1100,'Fully Furnished',cluster1
ampang,1880000,3,3,'Serviced Residence',Built-up,1930,'Fully Furnished',cluster5
bangsar,1320000,3,2,Condominium,'Land area',1550,'Fully Furnished',cluster2
'mont kiara',4800000,7,5,'Semi-detached House','Land area',4000,Unknown,cluster4
bangsar,1950000,4,3,'Terrace/Link House','Land area',1870,'Partly Furnished',cluster5
bangsar,4180000,6,5,Bungalow,'Land area',5242,'Partly Furnished',cluster4
bangsar,2350000,5,4,'Terrace/Link House','Land area',1760,'Partly Furnished',cluster5
bangsar,3880000,5,4,Bungalow,'Land area',6000,Unfurnished,cluster6
dutamas,1700000,7,7,'Terrace/Link House','Land area',1078,Unknown,cluster5
kepong,1890000,6,7,'Terrace/Link House','Land area',2232,Unfurnished,cluster4
segambut,1147000,6,4,Condominium,Built-up,2482,Unfurnished,cluster5
cheras,980000,4,3,'Terrace/Link House','Land area',4999,Unfurnished,cluster5
klcc,1472920,2,2,Condominium,Built-up,871,'Partly Furnished',cluster1
klcc,1994000,3,3,Condominium,Built-up,1232,'Fully Furnished',cluster2
klcc,1521000,2,2,Condominium,Built-up,871,'Fully Furnished',cluster1
klcc,900000,3,2,'Serviced Residence',Built-up,744,'Partly Furnished',cluster2
klcc,800000,2,1,'Serviced Residence',Built-up,602,'Fully Furnished',cluster1
klcc,1060000,3,2,'Serviced Residence',Built-up,805,'Partly Furnished',cluster2
klcc,1395800,2,2,'Serviced Residence',Built-up,793,'Partly Furnished',cluster1
klcc,1000000,2,1,'Serviced Residence',Built-up,635,'Fully Furnished',cluster1
brickfields,620000,3,2,'Serviced Residence',Built-up,1200,'Fully Furnished',cluster2
brickfields,1200000,4,3,'Serviced Residence',Built-up,1722,'Fully Furnished',cluster5
'kl sentral',1240000,2,1,'Serviced Residence',Built-up,1087,'Fully Furnished',cluster1
'kl sentral',1280000,2,1,'Serviced Residence',Built-up,1087,'Partly Furnished',cluster1
brickfields,490000,3,2,Apartment,Built-up,900,Unknown,cluster2
seputeh,3750000,4,3,Bungalow,'Land area',9149,'Partly Furnished',cluster6
brickfields,3750000,4,3,Bungalow,'Land area',9149,'Partly Furnished',cluster6
dutamas,1125460,4,5,Condominium,Built-up,2018,'Partly Furnished',cluster5
segambut,638000,2,2,Condominium,Built-up,1021,'Partly Furnished',cluster1
dutamas,1035860,4,5,Condominium,Built-up,1876,'Partly Furnished',cluster5
klcc,2500000,4,5,Condominium,Built-up,3109,'Partly Furnished',cluster4
cheras,810000,4,3,Condominium,Built-up,1700,'Partly Furnished',cluster2
cheras,1100000,2,2,'Serviced Residence',Built-up,915,'Fully Furnished',cluster1
'bukit jalil',500000,4,4,Condominium,Built-up,1424,'Fully Furnished',cluster5
'bukit jalil',515000,3,2,Condominium,Built-up,1242,'Fully Furnished',cluster2
'bukit jalil',760000,4,3,Condominium,Built-up,1600,'Fully Furnished',cluster2
'bukit jalil',530000,3,3,Condominium,Built-up,1003,Unknown,cluster2
'mont kiara',769000,3,2,Condominium,Built-up,1228,'Partly Furnished',cluster2
'taman tun dr ismail',1590000,4,3,'Terrace/Link House','Land area',1700,Unfurnished,cluster5
'sri petaling',338000,2,1,'Terrace/Link House','Land area',825,Unfurnished,cluster1
'pandan perdana',730000,3,2,'Terrace/Link House','Land area',2730,'Partly Furnished',cluster2
'bukit bintang',680000,1,1,'Serviced Residence','Land area',624,'Fully Furnished',cluster1
'jalan klang lama (old klang road)',380000,1,1,'Serviced Residence',Built-up,775,'Partly Furnished',cluster1
kepong,480000,4,2,'Terrace/Link House',Built-up,1400,Unknown,cluster2
'bukit bintang',880000,2,1,'Serviced Residence','Land area',829,'Fully Furnished',cluster1
ampang,630000,1,1,'Serviced Residence',Built-up,705,'Fully Furnished',cluster1
cheras,799000,4,3,'Terrace/Link House','Land area',1760,'Partly Furnished',cluster2
'mont kiara',2400000,5,5,Condominium,Built-up,2906,Unknown,cluster4
'taman desa',580000,2,2,Condominium,Built-up,968,'Fully Furnished',cluster1
cheras,556000,3,2,Condominium,Built-up,1100,'Partly Furnished',cluster2
ampang,930000,5,5,Condominium,Built-up,2300,'Partly Furnished',cluster5
cheras,1050000,5,4,'Semi-detached House','Land area',2625,'Partly Furnished',cluster5
cheras,478000,4,2,Condominium,Built-up,1142,Unknown,cluster2
cheras,288000,3,2,Condominium,Built-up,775,Unfurnished,cluster2
'sri hartamas',688000,2,2,'Serviced Residence',Built-up,955,'Fully Furnished',cluster1
setapak,480000,3,2,Condominium,Built-up,1000,Unfurnished,cluster2
kepong,1250000,5,4,'Terrace/Link House','Land area',1870,'Partly Furnished',cluster5
kepong,1080000,5,4,'Terrace/Link House','Land area',1870,'Partly Furnished',cluster5
'jalan klang lama (old klang road)',670000,2,2,Condominium,Built-up,1164,'Fully Furnished',cluster1
kepong,1100000,6,4,'Terrace/Link House','Land area',1400,'Partly Furnished',cluster5
kepong,1050000,5,2,'Terrace/Link House','Land area',2940,'Partly Furnished',cluster5
'jalan ipoh',1200000,5,5,'Terrace/Link House','Land area',1920,Unknown,cluster5
kepong,1050000,4,3,'Terrace/Link House','Land area',1540,'Partly Furnished',cluster2
'mont kiara',1300000,5,5,Condominium,Built-up,2513,'Fully Furnished',cluster5
kepong,1300000,5,5,'Terrace/Link House','Land area',1650,'Partly Furnished',cluster5
'desa parkcity',1620000,3,3,'Terrace/Link House',Built-up,1900,'Partly Furnished',cluster5
cheras,630000,4,2,Condominium,Built-up,1464,'Partly Furnished',cluster2
'damansara heights',6200000,5,5,Bungalow,'Land area',4277,'Partly Furnished',cluster4
'taman desa',580000,2,2,Condominium,Built-up,968,'Fully Furnished',cluster1
'bukit jalil',1120000,6,5,'Terrace/Link House','Land area',1650,'Fully Furnished',cluster5
'bukit jalil',425000,4,2,Condominium,'Land area',1080,'Fully Furnished',cluster2
cheras,795000,4,4,'Terrace/Link House','Land area',1650,'Fully Furnished',cluster5
'kuchai lama',430000,3,2,'Serviced Residence',Built-up,935,'Partly Furnished',cluster2
cheras,590000,3,2,'Serviced Residence',Built-up,1304,'Fully Furnished',cluster2
'sungai besi',999000,5,4,'Terrace/Link House','Land area',1500,'Partly Furnished',cluster5
oug,1600000,5,5,'Semi-detached House','Land area',2800,'Partly Furnished',cluster5
'desa parkcity',1580000,5,4,'Terrace/Link House','Land area',1650,'Partly Furnished',cluster5
'jalan klang lama (old klang road)',719000,3,3,'Serviced Residence',Built-up,1288,Unfurnished,cluster2
'mont kiara',3800000,5,4,'Semi-detached House','Land area',2400,'Partly Furnished',cluster4
'mont kiara',4600000,6,5,'Semi-detached House','Land area',4000,'Partly Furnished',cluster4
'mont kiara',4400000,6,5,'Semi-detached House','Land area',4000,'Partly Furnished',cluster4
'bukit jalil',620000,3,2,Condominium,Built-up,1403,'Partly Furnished',cluster2
sentul,365000,3,2,Condominium,Built-up,1063,'Partly Furnished',cluster2
'mont kiara',4800000,6,5,'Semi-detached House','Land area',4000,'Partly Furnished',cluster4
cheras,475000,3,2,Condominium,Built-up,1050,Unfurnished,cluster2
'bandar damai perdana',658000,4,3,'Terrace/Link House','Land area',1300,'Partly Furnished',cluster2
cheras,768888,2,1,Apartment,Built-up,694,'Partly Furnished',cluster1
kepong,580000,3,2,'Terrace/Link House','Land area',1430,Unfurnished,cluster2
'bandar menjalara',495000,3,2,Condominium,Built-up,960,'Partly Furnished',cluster2
kepong,310000,3,2,Apartment,Built-up,860,'Partly Furnished',cluster2
'jalan kuching',580000,4,2,Condominium,Built-up,1400,'Partly Furnished',cluster2
kepong,490000,4,2,'Terrace/Link House','Land area',1400,'Partly Furnished',cluster2
'damansara heights',4000000,5,6,Bungalow,'Land area',3704,Unknown,cluster4
'damansara heights',7200000,6,5,Bungalow,'Land area',8600,'Partly Furnished',cluster6
'damansara heights',4380000,5,6,'Semi-detached House','Land area',3600,'Partly Furnished',cluster4
'jalan klang lama (old klang road)',808000,3,2,Condominium,Built-up,1578,'Partly Furnished',cluster2
'taman desa',655000,3,2,Condominium,Built-up,1140,'Fully Furnished',cluster2
cheras,835000,4,2,'Terrace/Link House','Land area',1540,Unfurnished,cluster2
cheras,785000,4,3,'Terrace/Link House','Land area',1760,'Partly Furnished',cluster2
'taman desa',508000,2,2,'Serviced Residence',Built-up,715,'Partly Furnished',cluster1
'desa parkcity',800000,1,2,Condominium,Built-up,915,'Fully Furnished',cluster1
'taman desa',2300000,5,5,'Terrace/Link House','Land area',3885,'Partly Furnished',cluster4
'taman desa',600000,3,3,Condominium,Built-up,1261,'Fully Furnished',cluster2
cheras,890000,6,4,'Terrace/Link House',Built-up,4200,'Partly Furnished',cluster5
cheras,790000,5,3,'Terrace/Link House','Land area',1892,'Partly Furnished',cluster5
dutamas,1000000,2,2,'Serviced Residence',Built-up,1145,'Fully Furnished',cluster1
dutamas,1050000,2,2,'Serviced Residence',Built-up,1145,'Fully Furnished',cluster1
cheras,450000,3,2,'Terrace/Link House','Land area',990,'Partly Furnished',cluster2
'taman desa',1600000,4,3,Condominium,Built-up,2600,'Partly Furnished',cluster5
kepong,388000,3,2,Condominium,Built-up,945,'Partly Furnished',cluster2
'taman desa',2000000,4,4,'Terrace/Link House','Land area',4570,'Partly Furnished',cluster4
'taman desa',1040000,4,3,Condominium,Built-up,1650,'Fully Furnished',cluster5
'taman desa',530000,2,2,Condominium,Built-up,988,'Fully Furnished',cluster1
seputeh,628000,2,2,Condominium,Built-up,1025,'Fully Furnished',cluster1
'taman tun dr ismail',930000,3,2,Condominium,Built-up,1370,'Partly Furnished',cluster2
setapak,550000,2,2,'Terrace/Link House','Land area',1400,'Fully Furnished',cluster1
cheras,365000,1,1,Condominium,Built-up,610,'Fully Furnished',cluster1
kepong,499000,3,2,'Terrace/Link House','Land area',1650,Unknown,cluster2
'taman desa',580000,2,2,Condominium,Built-up,1044,'Partly Furnished',cluster1
'damansara heights',6000000,6,6,'Semi-detached House','Land area',3300,'Partly Furnished',cluster4
cheras,415000,3,2,Condominium,Built-up,927,'Partly Furnished',cluster2
cheras,589000,4,2,Condominium,Built-up,1461,Unknown,cluster2
cheras,420000,2,2,Condominium,Built-up,1072,'Partly Furnished',cluster1
cheras,335000,3,2,Condominium,Built-up,960,'Partly Furnished',cluster2
'taman tun dr ismail',1700000,4,3,Condominium,Built-up,2292,'Partly Furnished',cluster5
'sunway spk',1200000,4,4,Townhouse,Built-up,2800,'Partly Furnished',cluster5
'taman desa',410000,2,1,Condominium,Built-up,680,'Partly Furnished',cluster1
'sungai besi',2500000,5,5,'Semi-detached House','Land area',3200,'Partly Furnished',cluster4
'taman melawati',750000,4,3,'Terrace/Link House','Land area',1760,'Partly Furnished',cluster2
'damansara heights',1640000,2,2,'Serviced Residence',Built-up,1152,'Partly Furnished',cluster1
'mont kiara',1900000,4,4,Condominium,Built-up,2070,'Fully Furnished',cluster5
'mont kiara',1700000,4,4,Condominium,Built-up,1878,'Partly Furnished',cluster5
'mont kiara',1550000,4,4,Condominium,Built-up,1496,'Partly Furnished',cluster5
'mont kiara',3700000,6,6,Condominium,Built-up,3707,'Partly Furnished',cluster4
kepong,680000,4,4,'Terrace/Link House','Land area',1650,Unfurnished,cluster5
'jalan kuching',400000,3,2,Condominium,Built-up,1050,'Partly Furnished',cluster2
'damansara heights',330000,1,1,'Serviced Residence',Built-up,520,'Fully Furnished',cluster1
'taman tun dr ismail',1720000,5,3,'Terrace/Link House','Land area',1900,'Partly Furnished',cluster5
'taman tun dr ismail',2200000,2,3,'Terrace/Link House','Land area',2850,'Partly Furnished',cluster5
klcc,1250000,4,4,'Serviced Residence',Built-up,1378,'Partly Furnished',cluster5
klcc,1000000,4,3,'Serviced Residence',Built-up,1281,'Partly Furnished',cluster2
klcc,900000,3,3,'Serviced Residence',Built-up,1055,'Partly Furnished',cluster2
klcc,1180000,4,4,'Serviced Residence',Built-up,1378,'Fully Furnished',cluster5
klcc,1060000,4,3,'Serviced Residence','Land area',1313,'Fully Furnished',cluster2
'bandar damai perdana',656000,4,3,'Terrace/Link House','Land area',1496,'Partly Furnished',cluster2
cheras,1290000,3,2,'Serviced Residence',Built-up,1222,'Partly Furnished',cluster2
cheras,1100000,2,2,'Serviced Residence',Built-up,936,'Partly Furnished',cluster1
cheras,1400000,2,2,'Serviced Residence',Built-up,1210,'Partly Furnished',cluster1
cheras,1280000,3,2,'Serviced Residence',Built-up,1222,'Partly Furnished',cluster2
cheras,1090000,2,2,'Serviced Residence',Built-up,850,Unfurnished,cluster1
cheras,1400000,3,2,'Serviced Residence',Built-up,1087,'Fully Furnished',cluster2
'bukit jalil',700000,3,2,Condominium,Built-up,1100,'Partly Furnished',cluster2
cheras,1100000,2,2,'Serviced Residence',Built-up,883,'Partly Furnished',cluster1
cheras,900000,5,2,'Serviced Residence',Built-up,953,'Fully Furnished',cluster2
cheras,1200000,2,2,'Serviced Residence',Built-up,931,'Fully Furnished',cluster1
cheras,1300000,3,2,'Serviced Residence',Built-up,1087,Unfurnished,cluster2
cheras,860000,2,2,'Serviced Residence',Built-up,953,'Partly Furnished',cluster1
cheras,860000,2,2,'Serviced Residence',Built-up,915,'Partly Furnished',cluster1
cheras,1100000,2,2,Apartment,Built-up,953,'Fully Furnished',cluster1
cheras,860000,2,2,'Serviced Residence',Built-up,1028,'Partly Furnished',cluster1
ampang,4990000,8,7,Bungalow,'Land area',12000,'Partly Furnished',cluster6
'bukit jalil',435000,4,2,Condominium,Built-up,1050,Unknown,cluster2
'taman melawati',2500000,6,7,Bungalow,'Land area',7000,Unknown,cluster6
'jalan klang lama (old klang road)',690000,3,2,'Serviced Residence',Built-up,953,'Partly Furnished',cluster2
'sungai besi',680000,3,2,'Serviced Residence',Built-up,1025,'Fully Furnished',cluster2
bangsar,3700000,5,4,Bungalow,'Land area',5700,'Partly Furnished',cluster4
bangsar,7000000,7,7,Bungalow,'Land area',6867,'Partly Furnished',cluster6
'taman tun dr ismail',460000,3,2,Condominium,Built-up,1200,'Partly Furnished',cluster2
'taman tun dr ismail',1100000,4,3,Condominium,Built-up,1894,'Partly Furnished',cluster5
'bukit bintang',1033000,2,2,'Serviced Residence',Built-up,1033,'Fully Furnished',cluster1
'bukit bintang',1000000,2,2,'Serviced Residence',Built-up,1012,'Fully Furnished',cluster1
'taman melawati',2400000,5,4,Bungalow,'Land area',4500,Unknown,cluster4
pantai,820000,1,2,'Serviced Residence',Built-up,1300,'Fully Furnished',cluster1
'sungai besi',1000000,5,4,'Terrace/Link House','Land area',1600,'Partly Furnished',cluster5
'bandar menjalara',1600000,5,5,'Terrace/Link House','Land area',1650,'Partly Furnished',cluster5
cheras,615000,4,3,'Terrace/Link House','Land area',1200,'Partly Furnished',cluster2
bangsar,8300000,6,7,Bungalow,'Land area',13217,'Partly Furnished',cluster3
bangsar,9800000,20,20,Bungalow,'Land area',14102,'Fully Furnished',cluster3
'jalan klang lama (old klang road)',360000,3,2,'Serviced Residence',Built-up,950,'Partly Furnished',cluster2
'bukit bintang',1600000,3,3,Condominium,Built-up,1822,'Partly Furnished',cluster2
'bukit bintang',1800000,4,3,Condominium,Built-up,2111,'Fully Furnished',cluster5
klcc,2600000,2,2,'Serviced Residence',Built-up,1195,'Partly Furnished',cluster1
'kl city',1350000,3,3,'Serviced Residence',Built-up,1582,'Fully Furnished',cluster2
'kl city',1050000,3,3,'Serviced Residence','Land area',1281,'Fully Furnished',cluster2
setiawangsa,1650000,4,3,'Terrace/Link House','Land area',2000,'Partly Furnished',cluster5
'jalan kuching',400000,3,2,Condominium,'Land area',1100,'Partly Furnished',cluster2
'taman tun dr ismail',820000,2,2,'Serviced Residence',Built-up,795,'Fully Furnished',cluster1
cheras,680000,2,2,'Serviced Residence',Built-up,803,'Partly Furnished',cluster1
kepong,388000,3,2,Condominium,Built-up,901,Unfurnished,cluster2
dutamas,1550000,5,5,Condominium,Built-up,3020,'Partly Furnished',cluster5
dutamas,1750000,5,5,Condominium,Built-up,2412,'Fully Furnished',cluster5
dutamas,1230000,5,4,Condominium,Built-up,1991,'Partly Furnished',cluster5
'mont kiara',1880000,5,5,Condominium,Built-up,3152,'Partly Furnished',cluster4
'mont kiara',1700000,5,5,Condominium,Built-up,2552,'Fully Furnished',cluster5
'mont kiara',1220000,4,4,Condominium,Built-up,1448,'Fully Furnished',cluster5
'sri hartamas',3180000,5,5,Condominium,Built-up,3983,'Partly Furnished',cluster4
'sri hartamas',3000000,5,6,Condominium,Built-up,3660,'Fully Furnished',cluster4
'mont kiara',2180000,5,6,Condominium,Built-up,3729,'Partly Furnished',cluster4
'sungai besi',1380000,5,6,'Terrace/Link House','Land area',1920,'Partly Furnished',cluster5
'sri hartamas',3880000,5,6,Condominium,Built-up,3983,'Fully Furnished',cluster4
'sungai besi',1150000,5,4,'Terrace/Link House',Built-up,6300,Unfurnished,cluster4
'sungai besi',1080000,5,4,'Terrace/Link House','Land area',1500,'Fully Furnished',cluster5
dutamas,520000,3,2,Condominium,Built-up,1100,'Partly Furnished',cluster2
dutamas,478000,3,2,Condominium,Built-up,1100,'Partly Furnished',cluster2
'sunway spk',1800000,5,5,'Terrace/Link House','Land area',1650,'Fully Furnished',cluster5
'sunway spk',1800000,5,5,'Terrace/Link House','Land area',1650,'Fully Furnished',cluster5
'sunway spk',1800000,5,4,'Terrace/Link House','Land area',1650,'Fully Furnished',cluster5
'sungai besi',527000,4,2,Condominium,Built-up,1109,Unknown,cluster2
'jalan ipoh',480000,3,2,Condominium,Built-up,1215,'Partly Furnished',cluster2
'mont kiara',1220000,4,5,Condominium,Built-up,1756,'Fully Furnished',cluster5
segambut,1250000,4,3,Condominium,Built-up,1856,'Partly Furnished',cluster5
'jalan kuching',450000,3,2,Condominium,Built-up,1050,'Fully Furnished',cluster2
kepong,350000,2,2,'Terrace/Link House','Land area',700,'Partly Furnished',cluster1
klcc,1250000,1,1,'Serviced Residence',Built-up,925,'Fully Furnished',cluster1
'sri petaling',1150000,4,3,'Terrace/Link House','Land area',2200,'Fully Furnished',cluster5
'mont kiara',1510000,4,4,Condominium,Built-up,2648,'Fully Furnished',cluster5
'mont kiara',840000,4,3,'Serviced Residence',Built-up,1428,Unknown,cluster2
'mont kiara',1230000,4,3,Condominium,Built-up,1668,Unknown,cluster5
'mont kiara',2400000,5,6,Condominium,Built-up,2906,'Partly Furnished',cluster4
